Informations,Time,NH3-SOEC,H2O wwtp,H2_from_SOEC_HI,H2_pipeline_to_NH3_plant,Heat_import,Heat_export,Heat_export_process,O2,H2_to_pipe,H2_from_pipe,H2_stored_pipe,SP379-HH100,SP379-HH150,SP450-HH100,SP450-HH150,Power_from_the_grid,Curtailment,Electricity_to_batteries,Electricity_from_batteries,Electricity_stored,Xpwl1,Electricity consumption,Certified grid electricity
 ,3036,44317.831638574964,89743.6090681143,7977.209694943493,7977.209694943494,0.0,0.0,0.0,63817.67755954794,0.0,0.0,331553.5573475066,0.0,0.0,0.0,328708.1271277879,0.0,0.0,0.0,0.0,198476.83323833413,7977.209694943493,328708.1271277879,1.0
 ,3037,48859.63612409729,98940.76315129704,8794.734502337515,8794.734502337513,0.0,0.0,0.0,70357.87601870012,0.0,0.0,331553.5573475066,0.0,0.0,0.0,362394.97485968744,0.0,0.0,0.0,0.0,198476.83323833413,8794.734502337515,362394.97485968744,1.0
 ,3038,76830.16894202324,96720.24088717856,8597.354745526984,13829.430409564184,0.0,0.0,0.0,68778.83796421587,0.0,5232.075664037198,326321.4816834694,0.0,0.0,0.0,371411.3451334844,0.0,0.0,0.0,0.0,198476.83323833413,8597.354745526984,371411.3451334843,1.0
 ,3039,41868.59770461495,84783.91035184529,7536.347586830693,7536.347586830691,0.0,0.0,0.0,60290.780694645546,0.0,0.0,326321.4816834694,0.0,0.0,0.0,310542.0059624857,0.0,0.0,0.0,0.0,198476.83323833413,7536.347586830693,310542.0059624857,1.0
 ,3040,30971.204716882683,62716.689551687436,5574.816849038883,5574.816849038883,0.0,0.0,0.0,44598.53479231107,0.0,0.0,326321.4816834694,0.0,0.0,0.0,229715.3610854137,0.0,0.0,0.0,0.0,198476.83323833413,5574.816849038883,229715.36108541366,1.0
 ,3041,25075.96341793076,50778.825921309784,4513.673415227537,4513.673415227538,0.0,0.0,0.0,36109.38732182029,0.0,0.0,326321.4816834694,0.0,0.0,0.0,185989.98791850609,0.0,0.0,0.0,0.0,198476.83323833413,4513.673415227537,185989.98791850606,1.0
 ,3042,15366.03378840465,30777.758803658762,2735.8007825474456,2765.886081912837,0.0,0.0,0.0,21886.406260379565,0.0,30.085299365391165,326291.396384104,0.0,0.0,0.0,112829.75399071608,0.0,0.0,0.0,0.0,198476.83323833413,2735.8007825474456,112829.75399071607,1.0
 ,3043,15366.03378840465,14254.299748228945,1267.0488665092396,2765.886081912837,0.0,0.0,0.0,10136.390932073917,0.0,1498.8372154035974,324792.55916870036,0.0,0.0,0.0,57122.7477252295,0.0,0.0,0.0,0.0,198476.83323833413,1267.0488665092396,57122.74772522949,1.0
 ,3044,15366.03378840465,5140.617457093595,456.9437739638751,2765.886081912837,0.0,0.0,0.0,3655.550191711001,0.0,2308.9423079489616,322483.6168607514,0.0,0.0,0.0,26396.980512032344,0.0,0.0,0.0,0.0,198476.83323833413,456.9437739638752,26396.980512032344,1.0
 ,3045,15366.03378840465,2924.7074782685995,259.97399806832,2765.886081912837,0.0,0.0,0.0,2079.79198454656,0.0,2505.9120838445174,319977.70477690693,0.0,0.0,0.0,18926.286230643742,0.0,0.0,0.0,0.0,198476.83323833413,259.97399806832,18926.286230643742,1.0
