Informations,Time,NH3-AEC,H2O wwtp,H2_from_AEC,H2_pipeline_to_NH3_plant,Heat_import,Heat_export,Heat_export_process,O2,SP379-HH100,SP379-HH150,SP450-HH100,SP450-HH150,Power_from_the_grid,Curtailment,Electricity_to_batteries,Electricity_from_batteries,Electricity_stored,Xpwl1,Electricity consumption,Certified grid electricity
 ,6208,24658.771028591862,49934.011332898524,4438.578785146536,4438.578785146536,0.0,25193.373184491735,0.0,35508.630281172285,0.0,232262.50549149606,0.0,0.0,0.0,0.0,0.0,0.0,7.367736462329237e6,4438.578785146537,232262.5054914961,1.0
 ,6209,23595.99590919977,47781.89171612953,4247.279263655959,4247.279263655959,0.0,24107.557100511218,0.0,33978.23410924767,0.0,222252.16021849695,0.0,0.0,0.0,0.0,0.0,0.0,7.367736462329237e6,4247.279263655959,222252.16021849695,1.0
 ,6210,23882.586952631347,48362.23857907848,4298.865651473643,4298.865651473643,0.0,24400.361437764393,0.0,34390.925211789145,0.0,224951.5791685192,0.0,0.0,0.0,0.0,0.0,0.0,7.367736462329237e6,4298.865651473642,224951.57916851915,1.0
 ,6211,65316.85849917312,132266.63846082558,11757.034529851162,11757.034529851162,0.0,66732.9279914352,0.0,94056.2762388093,0.0,288612.8760732101,0.0,0.0,0.0,0.0,0.0,343800.7330885871,7.023935729240649e6,11757.034529851162,632413.6091617972,1.0
 ,6212,44361.90526451272,89832.85816063826,7985.14294761229,7985.14294761229,0.0,45323.67137064735,0.0,63881.14358089832,0.0,417847.5583055244,0.0,0.0,0.0,0.0,0.0,0.0,7.023935729240649e6,7985.142947612292,417847.55830552446,1.0
 ,6213,57294.32609936259,116021.01035120925,10312.978697885266,10312.978697885266,0.0,58536.46708919676,0.0,82503.82958308213,0.0,539658.8384252775,0.0,0.0,0.0,0.0,0.0,0.0,7.023935729240649e6,10312.978697885268,539658.8384252775,1.0
 ,6214,61760.36985950465,125064.74896549691,11116.866574710837,11116.866574710837,0.0,63099.3346780587,0.0,88934.9325976867,0.0,581724.7837297906,0.0,0.0,0.0,0.0,0.0,0.0,7.023935729240649e6,11116.866574710839,581724.7837297906,1.0
 ,6215,40063.03961303908,81127.65521640413,7211.347130347035,7211.347130347035,0.0,40931.60631184976,0.0,57690.77704277628,0.0,377356.27405519097,0.0,0.0,0.0,0.0,0.0,0.0,7.023935729240649e6,7211.347130347036,377356.27405519097,1.0
 ,6216,31954.901342620742,64708.675218807,5751.882241671734,5751.882241671734,0.0,32647.683603728758,0.0,46015.05793337387,0.0,300985.21292747866,0.0,0.0,0.0,0.0,0.0,0.0,7.023935729240649e6,5751.882241671732,300985.2129274786,1.0
 ,6217,26820.145147805,54310.79392430513,4827.6261266049005,4827.6261266049005,0.0,27401.605894609413,0.0,38621.009012839204,0.0,252620.62340624703,0.0,0.0,0.0,0.0,0.0,0.0,7.023935729240649e6,4827.6261266049005,252620.62340624706,1.0
 ,6218,17279.051660228775,34990.07961196327,3110.2292988411796,3110.2292988411796,0.0,17653.661500222534,0.0,24881.834390729437,0.0,162752.46752842364,0.0,0.0,0.0,0.0,0.0,0.0,7.023935729240649e6,3110.2292988411805,162752.46752842364,1.0
 ,6219,65316.85849917312,132266.63846082558,11757.034529851162,11757.034529851162,0.0,66732.9279914352,0.0,94056.2762388093,0.0,105389.81484045125,0.0,0.0,0.0,0.0,0.0,536667.1133335964,6.4872686159070525e6,11757.034529851162,642056.9281740476,1.0
 ,6220,13063.371699834624,26453.327692165112,2351.4069059702324,2351.4069059702324,0.0,13346.585598287038,0.0,18811.25524776186,0.0,87168.73692780119,0.0,0.0,0.0,0.0,0.0,37764.18691965379,6.449504428987399e6,2351.4069059702324,124932.92384745626,1.0
 ,6221,13063.371699834624,26453.327692165112,2351.4069059702324,2351.4069059702324,0.0,13346.585598287038,0.0,18811.25524776186,0.0,118661.95801139387,0.0,0.0,0.0,0.0,0.0,4613.427884294427,6.444891001103104e6,2351.4069059702324,123275.38589568829,1.0
 ,6222,13589.191976047236,27518.113751495654,2446.0545556885027,2446.0545556885027,0.0,13883.80565808794,0.0,19568.43644550802,0.0,127997.44854688742,0.0,0.0,0.0,0.0,0.0,0.0,6.444891001103104e6,2446.0545556885027,127997.44854688742,1.0
 ,6223,13195.12929132882,26720.13681494086,2375.1232724391875,2375.1232724391875,0.0,13481.199694364826,0.0,19000.9861795135,0.0,124285.74749060685,0.0,0.0,0.0,0.0,0.0,0.0,6.444891001103104e6,2375.1232724391875,124285.74749060685,1.0
 ,6224,16574.51534512615,33563.39357388046,2983.412762122707,2983.412762122707,0.0,16933.850837808484,0.0,23867.302096981657,0.0,156116.39594295234,0.0,0.0,0.0,0.0,0.0,0.0,6.444891001103104e6,2983.4127621227085,156116.39594295234,1.0
 ,6225,13063.371699834624,26453.327692165112,2351.4069059702324,2351.4069059702324,0.0,13346.585598287038,0.0,18811.25524776186,0.0,110113.79800299015,0.0,0.0,0.0,0.0,0.0,13611.491051035002,6.431279510052069e6,2351.4069059702324,123725.28905402531,1.0
