Informations,Time,NH3-SOEC,H2O wwtp,H2_from_AEC_SOEC_HI,H2_pipeline_to_NH3_plant,Heat_import,Heat_export,Heat_export_process,O2,H2_to_tank,H2_from_tank,H2_stored_tank,SP379-HH100,SP379-HH150,SP450-HH100,SP450-HH150,Power_from_the_grid,Curtailment,Electricity_to_batteries,Electricity_from_batteries,Electricity_stored,Xpwl1,Electricity consumption,Certified grid electricity
 ,62,72920.78485329179,181960.30940295613,16174.249724707211,13125.74127359252,0.0,68853.7810780786,0.0,129393.99779765769,3048.5084511146906,0.0,176411.92552026067,0.0,882073.0291035501,0.0,0.0,0.0,0.0,67205.56412217529,0.0,324443.7036371856,16174.249724707211,814867.4649813748,1.0
 ,63,72920.78485329179,181960.30940295613,16174.249724707211,13125.74127359252,0.0,68853.7810780786,0.0,129393.99779765769,3048.5084511146906,0.0,179460.43397137537,0.0,882073.0291035501,0.0,0.0,0.0,0.0,67205.56412217529,0.0,391649.2677593609,16174.249724707211,814867.4649813748,1.0
 ,64,72920.78485329179,181960.30940295613,16174.249724707211,13125.74127359252,0.0,68853.7810780786,0.0,129393.99779765769,3048.5084511146906,0.0,182508.94242249004,0.0,882073.0291035501,0.0,0.0,0.0,70565.84232828405,0.0,0.0,391649.2677593609,16174.249724707211,811507.1867752661,1.0
 ,65,72920.78485329179,181960.30940295613,16174.249724707211,13125.74127359252,0.0,68853.7810780786,0.0,129393.99779765769,3048.5084511146906,0.0,185557.45087360474,0.0,879101.8357423593,0.0,0.0,0.0,0.0,64375.85615913638,0.0,456025.12391849735,16174.249724707211,814725.9795832229,1.0
 ,66,72920.78485329179,181960.30940295613,16174.249724707211,13125.74127359252,0.0,68853.7810780786,0.0,129393.99779765769,3048.5084511146906,0.0,188605.95932471944,0.0,759511.3029544252,0.0,0.0,0.0,0.0,0.0,54732.50928509564,401292.6146334017,16174.249724707211,814243.8122395208,1.0
 ,67,72920.78485329179,181960.30940295613,16174.249724707211,13125.74127359252,0.0,68853.7810780786,0.0,129393.99779765769,3048.5084511146906,0.0,191654.46777583414,0.0,660904.8232799021,0.0,0.0,0.0,0.0,0.0,158528.8036793305,242763.81095407117,16174.249724707211,819433.6269592326,1.0
 ,68,72920.78485329179,181960.30940295613,16174.249724707211,13125.74127359252,0.0,68853.7810780786,0.0,129393.99779765769,3048.5084511146906,0.0,194702.97622694884,0.0,620422.313733676,0.0,0.0,0.0,0.0,0.0,201141.9716227264,41621.83933134476,16174.249724707211,821564.2853564024,1.0
 ,69,72920.78485329179,181960.30940295613,16174.249724707211,13125.74127359252,0.0,68853.7810780786,0.0,129393.99779765769,3230.4182487386943,181.90979762400366,197751.4846780635,0.0,772603.1237021727,0.0,0.0,0.0,0.0,0.0,41621.83933134476,0.0,16174.249724707211,814224.9630335174,1.0
 ,70,72920.78485329179,181960.30940295613,16174.249724707211,13125.74127359252,0.0,68853.7810780786,0.0,129393.99779765769,3048.5084511146906,0.0,200799.9931291782,0.0,849018.5029603014,0.0,0.0,0.0,37511.31618503528,0.0,0.0,0.0,16174.249724707211,811507.1867752661,1.0
 ,71,72920.78485329179,181960.30940295613,16174.249724707211,13125.74127359252,0.0,68853.7810780786,0.0,129393.99779765769,3048.5084511146906,0.0,203848.5015802929,0.0,850039.8506782107,0.0,0.0,0.0,38532.66390294465,0.0,0.0,0.0,16174.249724707211,811507.1867752661,1.0
 ,72,72920.78485329179,181960.30940295613,16174.249724707211,13125.74127359252,0.0,68853.7810780786,0.0,129393.99779765769,3048.5084511146906,0.0,206897.0100314076,0.0,882073.0291035501,0.0,0.0,0.0,70565.84232828405,0.0,0.0,0.0,16174.249724707211,811507.1867752661,1.0
 ,73,72920.78485329179,181960.30940295613,16174.249724707211,13125.74127359252,0.0,68853.7810780786,0.0,129393.99779765769,3048.5084511146906,0.0,209945.5184825223,0.0,882073.0291035501,0.0,0.0,0.0,0.0,67205.56412217532,0.0,67205.56412217532,16174.249724707211,814867.4649813748,1.0
