Informations,Time,NH3-SOEC,H2O wwtp,H2_from_SOEC_HI,H2_pipeline_to_NH3_plant,Heat_import,Heat_export,Heat_export_process,O2,H2_to_pipe,H2_from_pipe,H2_stored_pipe,SP379-HH100,SP379-HH150,SP450-HH100,SP450-HH150,Power_from_the_grid,Curtailment,Electricity_to_batteries,Electricity_from_batteries,Electricity_stored,Xpwl1,Electricity consumption,Certified grid electricity
 ,2060,10233.518027659591,20722.874006010672,1842.0332449787265,1842.0332449787265,0.0,0.0,0.0,14736.265959829812,0.0,0.0,2.0954757928848266e-11,0.0,0.0,0.0,0.0,75902.64280602793,0.0,0.0,0.0,0.0,1842.0332449787265,75902.64280602793,1.0
 ,2061,51167.590138295884,103614.3700300536,9210.166224893654,9210.166224893259,0.0,0.0,0.0,73681.32979914923,0.0,-3.9472070056945086e-10,4.220055416226387e-10,0.0,0.0,0.0,0.0,379513.2140301392,0.0,0.0,0.0,0.0,9210.166224893654,379513.2140301392,1.0
 ,2062,51167.59013829795,103614.37003005324,9210.16622489362,9210.166224893632,0.0,0.0,0.0,73681.32979914897,0.0,1.0913936421275139e-11,4.1109160520136356e-10,0.0,0.0,0.0,0.0,379513.2140301391,0.0,0.0,0.0,0.0,9210.16622489362,379513.21403013915,1.0
 ,2063,51167.59013829795,103614.37003005324,9210.16622489362,9210.166224893632,0.0,0.0,0.0,73681.32979914897,0.0,9.094947017729282e-12,4.019966581836343e-10,0.0,0.0,0.0,0.0,379513.2140301391,0.0,0.0,0.0,0.0,9210.16622489362,379513.21403013915,1.0
 ,2064,51167.59013829795,103614.37003005324,9210.16622489362,9210.166224893632,0.0,0.0,0.0,73681.32979914897,0.0,9.094947017729282e-12,3.92901711165905e-10,0.0,0.0,0.0,0.0,379513.2140301391,0.0,0.0,0.0,0.0,9210.16622489362,379513.21403013915,1.0
 ,2065,51167.59013829795,103614.37003005324,9210.16622489362,9210.166224893632,0.0,0.0,0.0,73681.32979914897,-9.094947017729282e-12,0.0,3.8562575355172157e-10,0.0,0.0,0.0,0.0,379513.2140301391,0.0,0.0,0.0,0.0,9210.16622489362,379513.21403013915,1.0
 ,2066,51167.59013829795,103614.37003005324,9210.16622489362,9210.166224893632,0.0,0.0,0.0,73681.32979914897,-1.0913936421275139e-11,0.0,3.7471181713044643e-10,0.0,0.0,0.0,0.0,379513.2140301391,0.0,0.0,0.0,0.0,9210.16622489362,379513.2140301391,1.0
 ,2067,51167.59013829795,103614.37003005324,9210.16622489362,9210.166224893632,0.0,0.0,0.0,73681.32979914897,-9.094947017729282e-12,0.0,3.6561687011271715e-10,0.0,0.0,0.0,0.0,379513.2140301391,0.0,0.0,0.0,0.0,9210.16622489362,379513.21403013915,1.0
 ,2068,51167.59013829795,103614.37003005324,9210.16622489362,9210.166224893632,0.0,0.0,0.0,73681.32979914897,-9.094947017729282e-12,0.0,3.5652192309498787e-10,0.0,0.0,0.0,0.0,379513.2140301391,0.0,0.0,0.0,0.0,9210.16622489362,379513.21403013915,1.0
 ,2069,51167.59013829795,103614.37003005324,9210.16622489362,9210.166224893632,0.0,0.0,0.0,73681.32979914897,-5.638867150992155e-11,0.0,3.001332515850663e-10,0.0,0.0,0.0,0.0,379513.2140301391,0.0,0.0,0.0,0.0,9210.16622489362,379513.2140301391,1.0
